venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260424-105-P,SOL,USD,put,105.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,18.8,0.0,0.0,0.69026,0.0,0.0,2026-04-14T09:13:32.174000+00:00,2026-04-14T09:13:00.836635+00:00,,,18.799999999999997,,False
lyra,SOL-20260424-105-C,SOL,USD,call,105.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.1,0.0,0.0,0.69026,50.0,0.0,2026-04-14T09:13:32.864000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
lyra,SOL-20260424-88-P,SOL,USD,put,88.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,4.1,250.0,250.0,0.55695,0.0,0.0,2026-04-14T09:13:32.615000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,1.7999999999999972,,False
lyra,SOL-20260424-50-C,SOL,USD,call,50.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,36.2,0.0,0.0,1.10571,0.0,0.0,2026-04-14T09:13:25.538000+00:00,2026-04-14T09:13:00.836635+00:00,,,,36.2,False
lyra,SOL-20260424-130-P,SOL,USD,put,130.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,43.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:27.156000+00:00,2026-04-14T09:13:00.836635+00:00,,,43.8,,True
lyra,SOL-20260424-95-C,SOL,USD,call,95.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,0.8,250.0,250.0,0.60611,3.799,0.0,2026-04-14T09:13:25.584000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
lyra,SOL-20260424-100-P,SOL,USD,put,100.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,14.0,0.0,0.0,0.64901,0.0,0.0,2026-04-14T09:13:26.144000+00:00,2026-04-14T09:13:00.836635+00:00,,,13.799999999999997,,False
lyra,SOL-20260424-80-P,SOL,USD,put,80.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,1.1,250.0,250.0,0.62151,1038.0,0.0,2026-04-14T09:13:26.146000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260424-70-C,SOL,USD,call,70.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,16.6,0.0,0.0,0.85793,0.0,0.0,2026-04-14T09:13:25.032000+00:00,2026-04-14T09:13:00.836635+00:00,,,,16.200000000000003,False
lyra,SOL-20260424-75-C,SOL,USD,call,75.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,11.8,0.0,0.0,0.73656,0.0,0.0,2026-04-14T09:13:24.370000+00:00,2026-04-14T09:13:00.836635+00:00,,,,11.200000000000003,False
lyra,SOL-20260424-85-P,SOL,USD,put,85.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,2.5,250.0,250.0,0.55659,505.0,0.0,2026-04-14T09:13:23.159000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260424-180-P,SOL,USD,put,180.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,93.6,0.0,0.0,0.83056,0.0,0.0,2026-04-14T09:13:31.853000+00:00,2026-04-14T09:13:00.836635+00:00,,,93.8,,True
lyra,SOL-20260424-80-C,SOL,USD,call,80.0,2026-04-24T00:00:00+00:00,0.026345102846429477,86.2,7.4,250.0,250.0,0.62151,0.0,0.0,2026-04-14T09:13:33.061000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,6.200000000000003,False
